country,province,district,facility,facility_id,month,metformin,sulfonylurea,insulin,statin
Alpha,Milky Way,Aquaris,Hydrogen,zBB50iqqjb0,2022-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Hydrogen,zBB50iqqjb0,2022-02,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Hydrogen,zBB50iqqjb0,2022-03,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Hydrogen,zBB50iqqjb0,2022-04,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Hydrogen,zBB50iqqjb0,2022-05,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Hydrogen,zBB50iqqjb0,2022-06,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Hydrogen,zBB50iqqjb0,2022-07,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Hydrogen,zBB50iqqjb0,2022-08,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Hydrogen,zBB50iqqjb0,2022-09,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Hydrogen,zBB50iqqjb0,2022-10,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Hydrogen,zBB50iqqjb0,2022-11,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Hydrogen,zBB50iqqjb0,2022-12,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Helium,YGYDmnj46kT,2022-01,Yes,Yes,Yes,No
Alpha,Milky Way,Aquaris,Helium,YGYDmnj46kT,2022-02,Yes,No,Yes,Yes
Alpha,Milky Way,Aquaris,Helium,YGYDmnj46kT,2022-03,No,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Helium,YGYDmnj46kT,2022-04,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Helium,YGYDmnj46kT,2022-05,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Helium,YGYDmnj46kT,2022-06,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Helium,YGYDmnj46kT,2022-07,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Helium,YGYDmnj46kT,2022-08,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Helium,YGYDmnj46kT,2022-09,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Helium,YGYDmnj46kT,2022-10,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Helium,YGYDmnj46kT,2022-11,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Helium,YGYDmnj46kT,2022-12,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Lithium,S0r15tW1LYm,2022-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Lithium,S0r15tW1LYm,2022-02,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Lithium,S0r15tW1LYm,2022-03,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Lithium,S0r15tW1LYm,2022-04,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Lithium,S0r15tW1LYm,2022-05,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Lithium,S0r15tW1LYm,2022-06,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Lithium,S0r15tW1LYm,2022-07,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Lithium,S0r15tW1LYm,2022-08,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Lithium,S0r15tW1LYm,2022-09,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Lithium,S0r15tW1LYm,2022-10,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Lithium,S0r15tW1LYm,2022-11,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Lithium,S0r15tW1LYm,2022-12,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Beryllium,nG2fQkb6jci,2022-01,No,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Beryllium,nG2fQkb6jci,2022-02,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Beryllium,nG2fQkb6jci,2022-03,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Beryllium,nG2fQkb6jci,2022-04,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Beryllium,nG2fQkb6jci,2022-05,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Beryllium,nG2fQkb6jci,2022-06,Yes,Yes,Yes,Yes
